Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S372,Female,21,80.15987010884898,63,High School,Yes,No,50,Fail
S395,Male,12,88.69172616006702,80,PhD,No,Yes,50,Fail
S211,Male,10,91.25663383463987,85,Bachelors,Yes,Yes,63,Pass
S361,Female,29,62.69442820216521,56,Masters,Yes,Yes,54,Fail
S382,Female,22,92.40640477334418,51,Bachelors,Yes,No,53,Fail
S389,Male,37,66.79329285749175,70,Bachelors,No,Yes,55,Fail
S387,Male,35,95.5312001770152,66,High School,Yes,No,65,Pass
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S020,Male,36,60.25226642532625,80,Bachelors,No,No,50,Fail
S445,Female,15,91.85394953515147,93,Bachelors,No,Yes,67,Pass
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S099,Female,22,93.41505535177934,88,High School,No,No,63,Pass
S448,Female,37,86.07664305609528,60,Bachelors,Yes,No,51,Fail
S408,Female,35,87.08434721143328,73,Masters,No,Yes,60,Pass
S089,Female,15,56.43741991498219,58,Bachelors,Yes,Yes,50,Fail
S049,Female,17,54.550104552566516,91,PhD,No,No,50,Fail
S194,Male,26,80.30509405279193,62,High School,No,No,56,Fail
S121,Female,35,59.1141939237979,55,PhD,No,No,57,Fail
S362,Male,26,59.80565498467264,52,High School,No,Yes,50,Fail
S322,Male,16,60.634039217061314,76,Bachelors,No,No,50,Fail
S499,Male,24,73.66050590406667,68,High School,Yes,No,57,Fail
S251,Female,34,76.82406757422973,55,High School,Yes,No,50,Fail
S314,Male,32,62.411322137857596,60,High School,No,Yes,50,Fail
S200,Male,27,96.64690335499773,65,Bachelors,No,No,63,Pass
S399,Female,34,98.7273632599435,94,Bachelors,No,Yes,66,Pass
S072,Female,29,84.88337868484659,54,Masters,Yes,Yes,50,Fail
S162,Male,35,98.75335814725713,89,Bachelors,Yes,No,71,Pass
S440,Male,20,97.93135886566102,95,Bachelors,No,Yes,61,Pass
S139,Male,38,94.98236985725062,84,PhD,Yes,No,71,Pass
S449,Male,30,80.52023335039789,52,PhD,Yes,No,59,Fail
S108,Female,37,86.02580306957324,57,PhD,No,No,60,Pass
S476,Female,23,65.72982784047055,91,Bachelors,No,No,58,Fail
S068,Male,35,76.8631708357035,79,PhD,Yes,Yes,57,Fail
S178,Male,11,54.36450897948377,62,High School,No,Yes,50,Fail
S406,Female,30,74.2389183575173,71,High School,Yes,Yes,60,Pass
S340,Female,15,79.37268021170371,83,High School,Yes,No,61,Pass
S368,Female,15,77.8360792391683,95,Masters,No,Yes,61,Pass
S370,Male,28,90.26574836789526,74,PhD,No,Yes,64,Pass
S379,Female,16,54.346250747517466,87,High School,No,No,50,Fail
S246,Female,33,60.22722965847316,83,PhD,No,No,56,Fail
S164,Female,25,86.14480483108878,54,Masters,No,Yes,50,Fail
S008,Male,19,56.69260594003166,72,Bachelors,Yes,Yes,50,Fail
S051,Male,25,77.37231534495558,79,Masters,No,No,57,Fail
S142,Male,21,74.91238489244701,96,High School,No,No,61,Pass
S394,Female,10,67.25960724406377,96,Masters,No,Yes,64,Pass
S045,Female,13,99.02313625461889,91,PhD,Yes,Yes,55,Fail
S013,Male,23,87.49553747349859,88,Bachelors,Yes,No,57,Fail
S085,Male,21,77.43576546037043,97,Bachelors,Yes,No,52,Fail
S300,Female,28,87.21248259216443,75,Bachelors,No,No,65,Pass
S438,Female,32,71.10180297753436,88,Masters,Yes,Yes,51,Fail
S439,Male,34,67.69356882806247,75,Bachelors,No,No,56,Fail
S012,Male,17,76.71731375147316,79,High School,No,No,50,Fail
S366,Male,13,78.47217588817502,52,Masters,No,Yes,50,Fail
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S180,Male,19,96.60071711284671,54,Bachelors,No,No,52,Fail
S486,Female,19,87.95179227694248,100,High School,No,No,64,Pass
S431,Male,24,62.53653302807989,82,PhD,Yes,Yes,52,Fail
S160,Female,21,95.86978065427658,58,Bachelors,Yes,Yes,66,Pass
S353,Male,14,94.87152049094422,74,Masters,Yes,Yes,63,Pass
S265,Male,33,91.33994139045392,53,PhD,No,No,50,Fail
S152,Male,14,52.782674467848764,77,PhD,No,Yes,50,Fail
S147,Male,31,68.26784098370288,86,High School,Yes,Yes,63,Pass
S259,Female,12,88.59409902991226,77,High School,Yes,Yes,50,Fail
S429,Male,26,63.32491966854411,62,Bachelors,Yes,Yes,50,Fail
S014,Male,33,95.65828761288213,84,Masters,Yes,Yes,61,Pass
S159,Male,14,78.799920890283,91,PhD,No,Yes,61,Pass
S482,Female,14,54.33526059310918,61,Bachelors,No,Yes,50,Fail
S297,Female,37,61.36978104385563,100,High School,Yes,No,66,Pass
S055,Male,32,76.18011380075056,81,Bachelors,No,No,56,Fail
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S280,Female,39,89.50423185620434,67,PhD,No,Yes,64,Pass
S034,Female,32,98.39868827199115,64,PhD,Yes,No,67,Pass
S494,Female,33,83.49587322750196,100,PhD,No,No,71,Pass
S163,Female,35,74.53743896293922,74,High School,Yes,Yes,57,Fail
S433,Male,30,74.71369250691357,75,High School,Yes,No,53,Fail
S028,Female,20,51.109237101515085,92,PhD,Yes,Yes,51,Fail
S328,Male,38,76.75348594668293,70,Bachelors,No,No,64,Pass
S355,Female,28,90.03748857430605,78,Masters,Yes,No,67,Pass
S225,Female,12,78.87431354530628,79,Masters,No,No,51,Fail
S160,Female,21,95.86978065427658,58,Bachelors,Yes,Yes,66,Pass
S213,Male,17,61.78458730324999,87,PhD,No,Yes,57,Fail
S435,Female,31,91.90534815891479,88,Masters,Yes,No,68,Pass
S271,Female,32,80.74751315763272,76,High School,Yes,No,52,Fail
S365,Male,22,66.96356229480955,73,Masters,No,No,61,Pass
S186,Male,14,77.44609899444886,81,PhD,No,No,57,Fail
S284,Male,31,68.7217684860211,78,Bachelors,No,Yes,53,Fail
S019,Female,11,62.05424161648159,63,High School,No,No,52,Fail
S280,Female,39,89.50423185620434,67,PhD,No,Yes,64,Pass
S143,Female,35,66.5174240640457,74,Masters,Yes,No,59,Fail
S299,Male,29,68.96528491927744,72,Bachelors,No,Yes,50,Fail
S090,Female,22,66.50497566550777,64,PhD,No,No,50,Fail
S214,Male,19,81.68792818600886,56,Masters,No,No,50,Fail
S369,Male,37,86.04065481552533,64,High School,No,No,61,Pass
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S402,Female,34,78.28883099832802,87,High School,Yes,Yes,65,Pass
S344,Female,17,76.72279456286235,73,PhD,Yes,No,50,Fail
S480,Female,27,84.52801162228204,61,Masters,No,No,52,Fail
S279,Male,26,95.93752611303732,75,Masters,No,No,61,Pass
S262,Female,27,78.27541736614869,86,PhD,No,Yes,59,Fail
S086,Male,14,76.72117518662616,50,PhD,Yes,Yes,50,Fail
S061,Male,31,53.311798892593295,98,Bachelors,No,No,67,Pass
S305,Female,14,70.72522921018138,53,High School,Yes,No,50,Fail
S414,Male,30,56.61381055626652,64,High School,No,No,52,Fail
S228,Female,35,76.5928739844087,67,Bachelors,No,No,62,Pass
S335,Female,19,67.46934995246664,54,PhD,No,No,50,Fail
S074,Female,15,84.82507331135395,79,PhD,No,Yes,57,Fail
S399,Female,34,98.7273632599435,94,Bachelors,No,Yes,66,Pass
S216,Male,21,65.80982911482474,92,Bachelors,Yes,No,65,Pass
S459,Male,37,92.32039246572786,61,Masters,No,No,61,Pass
S493,Male,32,52.5797903329355,81,Masters,No,No,50,Fail
S367,Female,13,94.37302412567516,69,PhD,No,Yes,62,Pass
S403,Male,33,99.26836561208674,90,High School,Yes,Yes,64,Pass
S035,Female,35,54.42041116828233,98,Bachelors,No,Yes,59,Fail
S119,Female,30,55.243458326624044,98,Bachelors,No,No,62,Pass
S003,Male,32,69.64947244894296,58,PhD,Yes,No,57,Fail
S261,Male,13,79.92213506026135,79,Bachelors,No,No,52,Fail
S264,Male,16,79.95146823886633,71,Bachelors,No,Yes,55,Fail
S478,Female,38,98.10493928820588,60,Masters,Yes,No,64,Pass
S465,Female,31,67.57700805671094,96,PhD,No,Yes,62,Pass
S365,Male,22,66.96356229480955,73,Masters,No,No,61,Pass
S326,Female,12,77.86526844450239,77,Bachelors,Yes,No,50,Fail
S298,Male,23,80.39471968971293,60,PhD,No,Yes,50,Fail
S253,Female,19,72.85001096408392,79,Masters,No,No,53,Fail
S223,Female,28,76.98905309573165,81,Bachelors,Yes,Yes,65,Pass
S189,Male,25,54.39340556213284,52,Bachelors,Yes,Yes,50,Fail
S124,Male,24,54.46021643560281,96,Bachelors,No,No,51,Fail
S223,Female,28,76.98905309573165,81,Bachelors,Yes,Yes,65,Pass
S024,Female,26,93.91103337395961,94,High School,No,No,65,Pass
S066,Female,38,78.98249672358692,96,Masters,No,No,71,Pass
S457,Female,37,58.10069389457923,90,High School,No,Yes,58,Fail
S487,Male,33,86.20516646365692,68,Bachelors,Yes,No,51,Fail
S066,Female,38,78.98249672358692,96,Masters,No,No,71,Pass
S130,Female,17,82.4411420145788,98,PhD,No,Yes,62,Pass
S330,Female,20,64.97979558832385,65,Bachelors,Yes,No,50,Fail
S119,Female,30,55.243458326624044,98,Bachelors,No,No,62,Pass
S381,Female,12,86.79523065980013,71,Masters,Yes,Yes,57,Fail
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S394,Female,10,67.25960724406377,96,Masters,No,Yes,64,Pass
S016,Male,24,86.3060422035924,91,High School,Yes,Yes,65,Pass
S023,Female,35,60.36138245040282,93,Bachelors,No,No,63,Pass
S091,Female,29,66.07913823400145,98,Masters,No,Yes,60,Pass
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S043,Female,16,95.15755293383131,65,Bachelors,Yes,No,55,Fail
S277,Male,39,79.64814526294109,50,Masters,Yes,No,55,Fail
S268,Female,14,61.36754915149935,85,High School,Yes,Yes,50,Fail
S021,Female,19,62.57212197558992,73,High School,No,No,50,Fail
S197,Female,29,92.53637300082273,55,PhD,No,No,61,Pass
S291,Male,38,61.79530172975406,60,High School,No,No,54,Fail
S263,Male,26,85.80895373664761,78,Bachelors,Yes,Yes,58,Fail
S368,Female,15,77.8360792391683,95,Masters,No,Yes,61,Pass
S342,Female,23,85.7029599894914,98,Bachelors,No,No,60,Pass
S324,Female,35,98.77706578413782,66,Masters,No,Yes,71,Pass
S328,Male,38,76.75348594668293,70,Bachelors,No,No,64,Pass
S120,Male,10,86.87026030469096,52,Bachelors,Yes,No,50,Fail
S333,Female,21,71.33944526683747,55,High School,Yes,No,50,Fail
S077,Female,20,75.76180274321055,94,Bachelors,No,No,56,Fail
S016,Male,24,86.3060422035924,91,High School,Yes,Yes,65,Pass
S092,Female,39,54.6145293114373,73,High School,No,Yes,60,Pass
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S084,Female,21,51.590234074258255,74,Bachelors,Yes,Yes,50,Fail
S258,Female,26,70.44775885427467,83,High School,Yes,No,57,Fail
S477,Male,12,90.37151259083805,63,High School,Yes,No,53,Fail
S229,Male,17,53.330955619540845,85,High School,No,Yes,50,Fail
S237,Female,18,93.93145576867191,81,Bachelors,No,Yes,57,Fail
S047,Female,29,81.83221608111413,51,Masters,No,Yes,52,Fail
S416,Male,31,84.56109288048272,71,Masters,Yes,Yes,56,Fail
S428,Female,18,63.18419013173082,90,Masters,Yes,Yes,57,Fail
S252,Male,13,68.94107827784579,68,Masters,No,No,50,Fail
S222,Male,38,81.20507720909188,59,PhD,Yes,No,60,Pass
S302,Male,24,89.38949443572463,95,High School,Yes,Yes,61,Pass
S390,Male,17,91.25536657113298,67,Masters,No,No,59,Fail
S042,Male,35,90.2522333759681,82,High School,Yes,Yes,68,Pass
S332,Male,24,69.8659057728799,69,Masters,No,No,54,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S387,Male,35,95.5312001770152,66,High School,Yes,No,65,Pass
S345,Male,19,74.0543974193793,61,High School,Yes,No,51,Fail
S190,Female,33,56.94123867210102,89,Bachelors,Yes,No,59,Fail
S160,Female,21,95.86978065427658,58,Bachelors,Yes,Yes,66,Pass
S349,Female,35,66.71814056552411,65,Masters,No,Yes,58,Fail
S409,Female,21,84.94229265804522,90,Masters,Yes,Yes,63,Pass
S341,Male,16,64.70223396104858,84,High School,No,No,50,Fail
S156,Female,23,84.84807311832108,74,PhD,No,Yes,68,Pass
S241,Female,30,99.88463079619217,98,Masters,Yes,No,74,Pass
S011,Male,12,84.5857198584456,80,High School,No,Yes,60,Pass
S313,Female,30,95.63747314395644,78,High School,Yes,No,61,Pass
S126,Female,39,61.66082057749006,98,Bachelors,Yes,No,63,Pass
S328,Male,38,76.75348594668293,70,Bachelors,No,No,64,Pass
S368,Female,15,77.8360792391683,95,Masters,No,Yes,61,Pass
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S221,Male,11,94.98337226460865,91,High School,No,No,57,Fail
S192,Male,32,55.834803207084065,89,Bachelors,No,No,59,Fail
S496,Male,31,79.41318784849655,67,Bachelors,No,Yes,65,Pass
S370,Male,28,90.26574836789526,74,PhD,No,Yes,64,Pass
S017,Female,31,87.85406010212279,88,Masters,Yes,No,65,Pass
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S175,Female,31,76.49200115905583,55,Masters,Yes,No,50,Fail
S017,Female,31,87.85406010212279,88,Masters,Yes,No,65,Pass
S459,Male,37,92.32039246572786,61,Masters,No,No,61,Pass
S232,Female,19,71.57640715682213,62,Bachelors,No,Yes,52,Fail
S458,Female,27,92.07648301550216,99,Bachelors,No,No,65,Pass
S138,Male,31,66.8723416935959,81,PhD,Yes,No,59,Fail
S254,Male,14,80.19789360362563,56,PhD,No,No,52,Fail
S469,Male,30,72.98407563805655,65,High School,No,No,54,Fail
S329,Female,20,59.2231435709428,96,Bachelors,No,Yes,64,Pass
S027,Female,18,63.433624101265366,86,High School,No,No,50,Fail
S360,Male,31,77.58612976296699,99,Masters,Yes,No,66,Pass
S432,Female,10,81.65490316787238,62,PhD,No,Yes,50,Fail
S038,Male,34,74.00229835092375,71,PhD,No,No,54,Fail
S154,Male,26,52.58177389372564,58,Masters,Yes,Yes,50,Fail
S484,Female,34,87.91962069728407,74,Masters,Yes,No,58,Fail
S146,Male,14,61.26663988562641,63,High School,Yes,No,50,Fail
S294,Female,21,91.8745394501246,96,Masters,Yes,Yes,65,Pass
S283,Female,34,88.5623334259869,96,Bachelors,Yes,Yes,72,Pass
S488,Female,39,81.86157898947434,95,PhD,No,Yes,61,Pass
S434,Female,31,78.66471890897003,71,Bachelors,No,No,55,Fail
S039,Male,33,71.02678893325375,74,High School,Yes,No,58,Fail
S023,Female,35,60.36138245040282,93,Bachelors,No,No,63,Pass
S498,Female,27,77.79032907185898,67,Bachelors,No,Yes,58,Fail
S234,Female,39,86.52745684046508,61,Bachelors,No,Yes,53,Fail
S369,Male,37,86.04065481552533,64,High School,No,No,61,Pass
S340,Female,15,79.37268021170371,83,High School,Yes,No,61,Pass
S073,Male,19,59.00336361746493,50,Bachelors,Yes,Yes,50,Fail
S353,Male,14,94.87152049094422,74,Masters,Yes,Yes,63,Pass
S031,Male,16,91.56857450312506,72,Bachelors,No,Yes,52,Fail
S125,Male,11,76.76677820077617,72,PhD,No,Yes,57,Fail
S410,Female,22,70.12750217984903,66,Masters,Yes,No,50,Fail
S402,Female,34,78.28883099832802,87,High School,Yes,Yes,65,Pass
S053,Male,21,95.52356392016365,62,Masters,No,No,50,Fail
S351,Female,14,87.66231103737255,57,PhD,Yes,No,55,Fail
S391,Male,38,68.15296060975453,79,High School,No,Yes,60,Pass
S257,Male,12,74.3178740997804,81,PhD,Yes,Yes,50,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S181,Male,35,66.03210960797571,62,PhD,No,No,50,Fail
S445,Female,15,91.85394953515147,93,Bachelors,No,Yes,67,Pass
S165,Female,30,91.04307365766763,60,High School,No,No,50,Fail
S461,Female,14,57.733607044161815,57,PhD,No,Yes,52,Fail
S354,Female,15,76.32892333296469,66,PhD,No,Yes,50,Fail
S446,Male,21,71.85966981786217,98,High School,Yes,No,62,Pass
S324,Female,35,98.77706578413782,66,Masters,No,Yes,71,Pass
S342,Female,23,85.7029599894914,98,Bachelors,No,No,60,Pass
S447,Male,33,95.77568386459569,89,Masters,Yes,No,69,Pass
S455,Male,17,63.49556111960975,80,PhD,Yes,No,53,Fail
S278,Female,26,55.11063321125998,71,High School,Yes,No,50,Fail
S094,Female,12,84.38923585480416,61,Bachelors,Yes,Yes,50,Fail
S409,Female,21,84.94229265804522,90,Masters,Yes,Yes,63,Pass
S226,Female,32,67.7681225909198,88,Bachelors,No,No,56,Fail
S069,Female,35,73.0059579491786,74,PhD,No,Yes,60,Pass
S450,Female,17,97.46533985288829,55,Bachelors,No,No,50,Fail
S092,Female,39,54.6145293114373,73,High School,No,Yes,60,Pass
S026,Female,10,52.34482338956099,52,PhD,No,No,50,Fail
S224,Female,27,71.93723376941695,92,High School,Yes,Yes,59,Fail
S356,Male,17,98.94657178079805,57,Bachelors,Yes,No,50,Fail
S097,Female,29,68.86429826210363,92,High School,No,No,64,Pass
S321,Female,35,61.00486070405485,60,Bachelors,Yes,No,50,Fail
S188,Male,13,84.22857739399166,100,Masters,Yes,Yes,65,Pass
S083,Male,37,67.38096072413418,86,High School,Yes,No,65,Pass
S240,Female,35,78.65754246286943,76,PhD,Yes,Yes,60,Pass
S365,Male,22,66.96356229480955,73,Masters,No,No,61,Pass
S095,Female,32,75.58285067736307,86,Masters,Yes,Yes,63,Pass
S408,Female,35,87.08434721143328,73,Masters,No,Yes,60,Pass
S289,Male,13,95.53430991278566,56,Bachelors,No,Yes,60,Pass
S115,Male,39,51.523607636679706,92,Masters,No,No,64,Pass
S325,Female,14,72.94944940085065,93,PhD,No,No,54,Fail
S327,Male,32,93.0316008945367,78,Bachelors,Yes,Yes,77,Pass
S172,Male,32,85.54762394183741,97,Bachelors,No,Yes,64,Pass
S441,Male,21,59.21854603394816,99,High School,Yes,Yes,60,Pass
S198,Female,33,87.2987262774359,73,Masters,No,Yes,72,Pass
S034,Female,32,98.39868827199115,64,PhD,Yes,No,67,Pass
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S103,Female,39,76.82953229936663,62,Masters,Yes,Yes,68,Pass
S042,Male,35,90.2522333759681,82,High School,Yes,Yes,68,Pass
S282,Female,25,82.5683605494123,63,High School,Yes,Yes,54,Fail
S116,Female,32,93.36074905373616,83,Masters,No,No,66,Pass
S436,Female,12,70.21907507745121,51,Masters,Yes,No,50,Fail
S460,Male,37,97.76181563617395,57,High School,No,No,59,Fail
S338,Male,26,68.88629737200847,87,Bachelors,Yes,Yes,65,Pass
S244,Male,20,88.92859695253756,89,PhD,No,Yes,61,Pass
S048,Male,10,77.74078042711128,84,Bachelors,No,Yes,56,Fail
S006,Female,27,53.17559147950007,57,Masters,Yes,No,50,Fail
S052,Female,23,72.54552237080522,62,Bachelors,Yes,No,50,Fail
S095,Female,32,75.58285067736307,86,Masters,Yes,Yes,63,Pass
S470,Female,29,53.79667051848111,53,Bachelors,No,Yes,50,Fail
S147,Male,31,68.26784098370288,86,High School,Yes,Yes,63,Pass
S355,Female,28,90.03748857430605,78,Masters,Yes,No,67,Pass
S316,Female,34,58.27566587139869,51,High School,No,No,54,Fail
S191,Male,25,50.13554497071648,83,High School,Yes,Yes,50,Fail
S347,Male,27,88.26781405331204,64,PhD,Yes,Yes,67,Pass
S104,Female,28,96.20208795537167,83,High School,No,Yes,67,Pass
S127,Female,31,67.14634321391301,58,High School,No,No,50,Fail
S151,Male,37,90.29324433705717,52,PhD,Yes,No,56,Fail
S157,Male,39,99.86277673841971,83,Masters,No,No,64,Pass
S044,Female,34,80.8631856048646,94,PhD,No,Yes,65,Pass
S157,Male,39,99.86277673841971,83,Masters,No,No,64,Pass
S285,Female,22,53.44607696836094,61,PhD,No,Yes,50,Fail
S300,Female,28,87.21248259216443,75,Bachelors,No,No,65,Pass
S391,Male,38,68.15296060975453,79,High School,No,Yes,60,Pass
S092,Female,39,54.6145293114373,73,High School,No,Yes,60,Pass
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S270,Male,26,64.3964808237863,53,High School,No,Yes,50,Fail
S219,Female,21,72.59743006495196,80,Masters,Yes,No,58,Fail
S391,Male,38,68.15296060975453,79,High School,No,Yes,60,Pass
S139,Male,38,94.98236985725062,84,PhD,Yes,No,71,Pass
S173,Male,35,59.975346366915986,75,High School,No,No,59,Fail
S465,Female,31,67.57700805671094,96,PhD,No,Yes,62,Pass
S222,Male,38,81.20507720909188,59,PhD,Yes,No,60,Pass
S489,Male,27,99.02884000899941,85,High School,Yes,Yes,64,Pass
S145,Female,28,50.37671815670374,53,PhD,No,No,50,Fail
S249,Male,30,87.73176459300583,84,PhD,No,Yes,69,Pass
S304,Female,30,55.713365002784386,78,Masters,Yes,No,50,Fail
S371,Female,38,99.43643909777214,79,Masters,Yes,Yes,68,Pass
S140,Male,32,80.37776111467863,87,High School,No,No,69,Pass
S423,Female,28,70.26240440138443,99,PhD,No,Yes,62,Pass
S001,Male,38,68.83694849689704,64,High School,Yes,No,50,Fail
S412,Female,38,82.25270838846647,95,Bachelors,No,No,76,Pass
S056,Female,24,84.88209357467318,81,Bachelors,No,Yes,67,Pass
S030,Female,25,73.81053483945071,75,PhD,No,No,50,Fail
S397,Female,37,93.05340099873608,81,Bachelors,No,Yes,61,Pass
S113,Female,35,92.22203363168144,95,Masters,No,Yes,64,Pass
S150,Female,23,54.394381227007194,90,PhD,Yes,Yes,53,Fail
S162,Male,35,98.75335814725713,89,Bachelors,Yes,No,71,Pass
S218,Male,22,84.14910317085662,100,High School,Yes,Yes,63,Pass
S111,Female,35,56.65584642937391,100,PhD,No,No,57,Fail
S248,Male,34,74.69907435654314,94,Bachelors,No,Yes,53,Fail
S067,Female,31,67.07816052282725,59,Bachelors,No,No,50,Fail
S218,Male,22,84.14910317085662,100,High School,Yes,Yes,63,Pass
S481,Female,28,76.06503337067846,72,PhD,No,No,54,Fail
S239,Male,13,87.07304555695228,95,Bachelors,No,Yes,58,Fail
S238,Female,16,74.77118132019828,62,High School,No,No,50,Fail
S096,Female,17,57.84888413580968,86,Bachelors,No,Yes,50,Fail
S419,Female,37,76.48308393275406,82,High School,No,Yes,63,Pass
S474,Female,38,50.262690927919245,52,High School,No,Yes,51,Fail
S446,Male,21,71.85966981786217,98,High School,Yes,No,62,Pass
S495,Male,10,52.208271885505006,93,Masters,Yes,Yes,52,Fail
S446,Male,21,71.85966981786217,98,High School,Yes,No,62,Pass
S106,Female,33,87.99777044687929,56,Masters,Yes,No,55,Fail
S319,Male,30,89.02478537730438,69,Masters,Yes,No,56,Fail
S486,Female,19,87.95179227694248,100,High School,No,No,64,Pass
S119,Female,30,55.243458326624044,98,Bachelors,No,No,62,Pass
S088,Male,13,94.71086314479629,64,Masters,Yes,Yes,50,Fail
S286,Male,36,53.866053274439366,85,Bachelors,No,Yes,53,Fail
S091,Female,29,66.07913823400145,98,Masters,No,Yes,60,Pass
S446,Male,21,71.85966981786217,98,High School,Yes,No,62,Pass
S158,Female,29,94.83051314870104,61,High School,Yes,No,50,Fail
S017,Female,31,87.85406010212279,88,Masters,Yes,No,65,Pass
S024,Female,26,93.91103337395961,94,High School,No,No,65,Pass
S466,Male,26,70.63967753033762,56,PhD,No,Yes,55,Fail
S444,Female,17,53.41248526770458,91,High School,Yes,No,50,Fail
S376,Female,19,57.054092438885675,69,Masters,No,No,50,Fail
S415,Male,25,95.02861506181928,65,Masters,Yes,Yes,50,Fail
S247,Male,13,85.70320411118071,73,High School,Yes,No,53,Fail
